ZIP,note
94705,"""staked"" to acacia, crowded"
94705,"'female'  curved trunk, lean towards the road, road clearance"
94707,"'needs to be brace', trunk craked, trunk wound, hit by trucks, next to power pole, uneven spread"
94707,1 branch
94703,"1 foot from utility and sign - move sign, codominant leaders"
94708,"1 heavy limb over road, healthy top"
94708,"1 large limb competing, curved trunk, uneven weight"
94709,"1 living sucker, under sweet gum, next to utility"
94705,"1 scaffold remaining, next to sewer cleanout & sign"
94709,"1 stem remaining, lean, crossed branches, under horse chestnut"
94710,"1 stem topped, 1 chlorotic, next to utility"
94705,"1 upright scaffold over sidewalk, next to utility, roots cut"
94705,"1"" pile of leaves in trunk guard on top of root ball"
94702,"1"" stump"
94703,"1"" stump"
94710,"1"" stump w/ suckers"
94703,"1"" stump w/suckers"
94710,"1"" stump w/suckers"
94703,"1"" stump w/suckers"
94704,"1"" stump, between utilities"
94704,"1"" stump, next to light pole"
94705,1' from sign
94705,1' from sign
94703,"1-1/2"" stump"
94702,"1-1/2"" stump"
94710,"1.5"" stump"
94707,"10"" stump"
94710,"10"" stump"
94708,"10"" stump"
94703,"10"" stump"
94709,"10"" stump"
94707,"10"" stump"
94708,"10"" stump"
94703,"10"" stump"
94702,"10"" stump"
94703,"10"" stump"
94710,"10"" stump"
94703,"10"" stump"
94710,"10"" stump"
94708,"10"" stump"
94707,"10"" stump next to healthy plum"
94703,"10"" stump under rosemary"
94703,"10"" stump w/suckers"
94707,"10"" stump, between path & rock"
94709,"10"" stump, broken planter"
94702,"10"" stump, next to ash"
94703,"10"" stump, next to utility"
94702,"10"" stump, next to utility"
94708,"10"" stump, next to water line"
94705,"10"" stump, suckers"
94707,"10"" stump, under oak, on hillside above sidewalk"
94704,"10"" stump, under pines"
94705,10'' stump
94708,10'' stump
94705,10'' stump
94705,10'' stump
94708,10'' stump
94708,10'' stump
94708,"10'' stump, 4' height"
94708,"10'' stump, 5' height"
94704,"11"" stump"
94703,"11"" stump"
94708,"11"" stump"
94703,"11"" stump on hillside"
94707,"11"" stump, between path & rock"
94703,"11"" stump, under acacia, next to fence & sign"
94710,"11"" stump, under cypress"
94703,11'' stump
94708,11'' stump
94707,"12"" deadwood over property, slight lean over road, topped, hit by trucks"
94705,"12"" stump"
94708,"12"" stump"
94703,"12"" stump"
94710,"12"" stump"
94705,"12"" stump"
94707,"12"" stump"
94705,"12"" stump"
94707,"12"" stump"
94703,"12"" stump"
94704,"12"" stump"
94708,"12"" stump"
94702,"12"" stump"
94705,"12"" stump"
94707,"12"" stump"
94705,"12"" stump"
94703,"12"" stump"
94708,"12"" stump"
94709,"12"" stump, next to fence"
94702,"12"" stump, tree recently removed"
94708,12'' stump
94707,12'' stump
94708,12'' stump
94708,12'' stump
94709,12'' stump
94708,12'' stump
94707,12'' stump
94704,12'' stump
94709,"12'' stump, next to utility"
94703,"12'' stump, watersprouts"
94707,"13"" stump"
94708,"13"" stump"
94703,"13"" stump"
94710,"13"" stump"
94709,"13"" stump"
94708,"13"" stump"
94709,"13"" stump w/suckers"
94707,"13"" stump, conks & mushrooms, between path & rock"
94702,"13"" stump, next to sewer cleanout"
94709,"13"" stump, recently removed"
94702,"13"" stump, tree recently removed, next to sewer cleanout"
94705,13'' stump
94708,13'' stump
94708,13'' stump
94707,13'' stump
94708,13'' stump
94705,13'' stump
94705,"13'' stump, watersprouts"
94702,"14"" stump"
94708,"14"" stump"
94708,"14"" stump"
94709,"14"" stump"
94704,"14"" stump"
94708,"14"" stump"
94708,"14"" stump"
94709,"14"" stump"
94710,"14"" stump"
94703,"14"" stump, next to utility"
94706,"14"" stump, recently removed"
94707,"14"" stump, under acacia"
94702,"14"" stump, under palm & maple"
94705,14'' stump
94708,14'' stump
94705,14'' stump
94707,14'' stump
94708,14'' stump
94708,14'' stump
94705,14'' stump
94709,14'' stump
94702,"15"" stump"
94705,"15"" stump"
94708,"15"" stump"
94702,"15"" stump"
94708,"15"" stump"
94702,"15"" stump, next to power pole"
94706,"15"" stump, next to utility, recently removed"
94702,"15"" stump, under redwood"
94708,"15' stump, severely topped for view"
94708,15'' stump
94710,"16"" stump"
94710,"16"" stump"
94707,"16"" stump"
94710,"16"" stump"
94708,"16"" stump"
94708,"16"" stump"
94705,"16"" stump"
94703,"16"" stump"
94703,"16"" stump on replanted hillside"
94710,"16"" stump under cypress"
94703,"16"" stump, next to elm"
94707,"16"" stump, tree recently removed"
94703,"16"" stump, under acacia, next to fence sign"
94710,"16"" stump, under shrubs"
94705,"16"" stump, watersprouts"
94708,16'' stump
94708,16'' stump
94708,16'' stump
94709,"16'' stump, next to power poles"
94703,"17"" mult. st. stump"
94708,"17"" stump"
94708,"17"" stump"
94710,"17"" stump"
94710,"17"" stump"
94708,"17"" stump"
94707,"17"" stump, between rocks"
94708,"17"" stump, next to electrical box"
